Gene	RNA Tissue Category	RNA TS TPM	BaseMean	log2FoldChange	lfcSE	stat	P_value	P_value_adjusted
FXYD5	Expressed in all		222.4273977	-0.020936367	0.187792912	-0.111486462	0.9112306	0.999677189
GGA1	Expressed in all		259.8774065	-0.018268973	0.163880991	-0.111477069	0.911238048	0.999677189
HSCB	Expressed in all		223.481257	0.011794465	0.105816138	0.111461876	0.911250096	0.999677189
FBXO3	Expressed in all		918.3019489	0.011638295	0.104417781	0.11145894	0.911252424	0.999677189
ANAPC2	Expressed in all		361.1439128	0.015841299	0.142178164	0.111418647	0.911284374	0.999677189
OR52N2	Not detected		0.064274654	0.487519607	4.376597651	0.111392375	0.911305206	NA
PLA2G6	Expressed in all		89.91983985	-0.027617466	0.247944249	-0.11138579	0.911310428	0.999677189
EARS2	Expressed in all		373.0273321	0.011989678	0.107812108	0.111209015	0.911450603	0.999677189
MIXL1	Tissue enhanced	tonsil: 3.0	2.426847503	0.056225436	0.505734341	0.111175832	0.911476916	0.999677189
HABP2	Group enriched	gallbladder: 55.8;liver: 225.6	8144.00901	-0.012810733	0.115239384	-0.111166278	0.911484492	0.999677189
MPP3	Mixed		8.992515187	0.040206954	0.362130484	0.111028913	0.911593419	0.999677189
PSG9	Tissue enriched	placenta: 147.0	0.099861995	-0.317194092	2.856876427	-0.111028286	0.911593917	NA
EEF1E1	Expressed in all		130.1448942	0.019706919	0.177495159	0.111027926	0.911594202	0.999677189
NLRC4	Tissue enhanced	appendix: 12.4	42.98840227	0.027473359	0.247577717	0.110968625	0.911641226	0.999677189
LIMD2	Group enriched	appendix: 140.1;bone marrow: 71.2;lymph node: 255.5;spleen: 191.0;tonsil: 138.2	156.1023385	-0.026181812	0.236078475	-0.110903003	0.911693264	0.999677189
TRIM16L	Mixed		57.4154696	-0.036338423	0.327690047	-0.110892666	0.911701461	0.999677189
MRPS12	Expressed in all		266.3511368	-0.018048996	0.162890834	-0.110804244	0.911771579	0.999677189
MICAL1	Mixed		42.3084823	-0.036208299	0.327457178	-0.110574149	0.911954048	0.999677189
SIGLEC5	Tissue enhanced	appendix: 9.3;bone marrow: 9.7;spleen: 8.8	0.317025638	-0.317208666	2.871459819	-0.110469478	0.912037055	NA
OTULIN	Expressed in all		520.3891859	0.012308519	0.111472598	0.11041744	0.912078323	0.999677189
SDHA	Expressed in all		3320.780291	-0.014596933	0.132226262	-0.110393598	0.912097231	0.999677189
RP11-1021N1.1	Not detected		0.472248629	-0.269736517	2.44349262	-0.110389741	0.912100289	NA
ZFP69B	Mixed		10.73395734	0.031256176	0.283152088	0.11038653	0.912102835	0.999677189
ST6GALNAC4	Mixed		28.64825213	0.045482143	0.412270778	0.110321045	0.912154768	0.999677189
GDA	Tissue enhanced	cerebral cortex: 102.2;duodenum: 95.2;small intestine: 104.1	1752.851367	-0.019090989	0.173152849	-0.110255128	0.912207043	0.999677189
CERK	Expressed in all		707.3804773	-0.012290833	0.111507917	-0.110223859	0.91223184	0.999677189
CLUH	Expressed in all		607.9974853	0.038443905	0.348940626	0.110173199	0.912272017	0.999677189
ASGR1	Tissue enriched	liver: 236.1	7077.571243	0.021760132	0.197522916	0.1101651	0.91227844	0.999677189
KIAA1328	Expressed in all		17.7492678	-0.027395948	0.248760788	-0.110129689	0.912306523	0.999677189
PRPF31	Expressed in all		402.8824234	0.015040091	0.136602646	0.110101026	0.912329255	0.999677189
ASTL	Tissue enhanced	bone marrow: 2.4	0.175911842	-0.211608666	1.922096502	-0.110092633	0.91233591	NA
PCED1B	Mixed		40.2953227	-0.024260716	0.220548818	-0.11000157	0.91240813	0.999677189
ZFYVE28	Mixed		110.2716276	0.021711114	0.197528818	0.109913656	0.912477853	0.999677189
ZSWIM1	Expressed in all		99.17645222	0.017715283	0.161295427	0.109831281	0.912543182	0.999677189
FPGT	Expressed in all		279.7593551	0.016045635	0.146150735	0.109788262	0.9125773	0.999677189
JMJD6	Expressed in all		116.31477	-0.013129583	0.119599337	-0.109779735	0.912584063	0.999677189
GHRL	Tissue enriched	stomach: 156.2	4.96519901	0.041903713	0.382240469	0.109626575	0.912705534	0.999677189
EEF1G	Expressed in all		6234.641852	-0.016264015	0.148487466	-0.109531231	0.912781152	0.999677189
ZNF24	Expressed in all		1213.645562	0.011960208	0.109268123	0.109457428	0.912839686	0.999677189
HTRA3	Mixed		37.72399619	-0.030390066	0.277716818	-0.109428252	0.912862826	0.999677189
SNAPC2	Expressed in all		66.08773019	0.021334964	0.195129509	0.109337455	0.91293484	0.999677189
GNE	Expressed in all		2762.898016	0.025207757	0.230748012	0.109243659	0.913009233	0.999677189
STX1B	Tissue enriched	cerebral cortex: 108.6	5.173457943	0.057684355	0.528366348	0.109174922	0.913063751	0.999677189
TRMT10C	Expressed in all		366.720379	-0.011608106	0.106334882	-0.109165551	0.913071183	0.999677189
SUMO2	Expressed in all		2119.564049	0.00854951	0.078317821	0.109164295	0.913072179	0.999677189
FAM104B	Expressed in all		116.0516859	-0.009943449	0.091202706	-0.109025811	0.913182018	0.999677189
TUT1	Expressed in all		267.0092309	0.019795831	0.181578642	0.109020703	0.91318607	0.999677189
THOC6	Expressed in all		142.7407856	-0.017448649	0.160137719	-0.108960267	0.913234005	0.999677189
DMRTA2	Not detected		0.141853215	0.293359543	2.692656707	0.108947993	0.913243741	NA
STXBP2	Mixed		286.5430395	0.016808652	0.15429483	0.108938527	0.913251248	0.999677189
HNRNPA2B1	Expressed in all		4784.985834	-0.01556703	0.142919851	-0.108921399	0.913264834	0.999677189
SLC12A7	Mixed		1131.318218	0.016428737	0.150957261	0.108830386	0.913337022	0.999677189
SCNN1G	Tissue enhanced	"cervix, uterine: 24.6;kidney: 46.7"	0.065657913	-0.469884617	4.320794094	-0.108749597	0.913401102	NA
WDR26	Expressed in all		721.5785611	-0.011360711	0.104551054	-0.108661851	0.913470701	0.999677189
DIRAS3	Tissue enhanced	ovary: 57.2	5.251235877	-0.132865221	1.223456982	-0.108598196	0.913521192	0.999677189
SNX14	Expressed in all		1142.686532	-0.012967446	0.119411205	-0.108594888	0.913523815	0.999677189
CPA2	Tissue enriched	pancreas: 9283.9	0.092299125	0.48752685	4.489704033	0.108587748	0.913529479	NA
GLRA4	Tissue enhanced	smooth muscle: 2.8	0.047557806	0.48752685	4.489704033	0.108587748	0.913529479	NA
CCDC169-SOHLH2	Tissue enriched	testis: 19.5	0.063151043	0.487526703	4.489704032	0.108587715	0.913529505	NA
OR11L1	Not detected		0.029895539	0.487526551	4.489704036	0.108587681	0.913529532	NA
RTP2	Not detected		0.046624021	0.487526551	4.489704036	0.108587681	0.913529532	NA
UBE2L5P	Tissue enriched	testis: 86.2	0.060463197	0.487526551	4.489704036	0.108587681	0.913529532	NA
GOLGA8S	Not detected		0.089818457	0.487526147	4.489704029	0.108587591	0.913529603	NA
NT5C1A	Tissue enhanced	heart muscle: 7.5;skeletal muscle: 24.9	0.135750934	-0.27028936	2.489367382	-0.10857753	0.913537584	NA
XCL2	Tissue enhanced	spleen: 14.1	17.36057438	0.032179316	0.296415821	0.108561397	0.913550381	0.999677189
ADH1B	Group enriched	adipose tissue: 1624.6;liver: 3000.2	45654.00632	-0.01840401	0.169597586	-0.108515756	0.913586583	0.999677189
CTD-2140B24.4	Not detected		0.334928025	0.286895262	2.64450537	0.108487306	0.91360915	NA
IQCB1	Expressed in all		126.1826612	-0.014368126	0.132677956	-0.108293246	0.91376308	0.999677189
GFM2	Expressed in all		689.6071433	0.016025832	0.147997908	0.108284179	0.913770272	0.999677189
MKRN1	Expressed in all		758.8982433	-0.006833689	0.063115571	-0.108272627	0.913779436	0.999677189
CA9	Tissue enhanced	gallbladder: 36.0;stomach: 93.6	22.87406522	-0.064838026	0.59895991	-0.108251027	0.913796569	0.999677189
CLVS2	Group enriched	cerebral cortex: 15.4;prostate: 5.0	0.143215987	-0.270293072	2.497959526	-0.108205545	0.913832647	NA
UBXN2B	Expressed in all		585.3293679	0.014471026	0.133773123	0.108175887	0.913856172	0.999677189
NDUFB5	Expressed in all		1429.978261	-0.012641016	0.116869268	-0.108163734	0.913865812	0.999677189
PPP1CA	Expressed in all		1153.17228	-0.012465875	0.115332361	-0.108086531	0.913927053	0.999677189
TIMM44	Expressed in all		314.0321888	0.019888803	0.184113802	0.10802451	0.91397625	0.999677189
CCDC70	Tissue enriched	testis: 115.6	0.063177906	-0.469888549	4.354106899	-0.107918469	0.914060367	NA
EMC8	Expressed in all		185.4751783	0.011219436	0.103986263	0.107893443	0.914080219	0.999677189
BBIP1	Expressed in all		214.7215805	-0.02157644	0.200033262	-0.107864261	0.914103367	0.999677189
POLR1B	Expressed in all		190.9237998	-0.023212703	0.21536051	-0.107785329	0.914165981	0.999677189
DIAPH1	Expressed in all		1868.243234	0.013886023	0.128856744	0.107763259	0.914183488	0.999677189
AKAP8	Expressed in all		254.8707869	-0.011065113	0.102695916	-0.107746381	0.914196877	0.999677189
ACTN4	Expressed in all		3191.106724	-0.014527481	0.134880013	-0.107706702	0.914228353	0.999677189
ERI3	Expressed in all		131.4083634	0.018863956	0.175205642	0.107667516	0.914259438	0.999677189
EIF4EBP1	Expressed in all		384.1028661	-0.021232243	0.197212714	-0.107661632	0.914264106	0.999677189
ZNF25	Mixed		116.7439091	0.015544067	0.144396228	0.107648705	0.91427436	0.999677189
C2orf74	Expressed in all		212.2435941	-0.0205883	0.191257975	-0.107646751	0.914275911	0.999677189
NANS	Expressed in all		365.0946648	-0.015677012	0.145658507	-0.107628536	0.91429036	0.999677189
LNX2	Expressed in all		567.8465626	-0.015887168	0.14761274	-0.107627348	0.914291302	0.999677189
PRR19	Tissue enriched	testis: 22.5	7.957037934	0.051773212	0.481284461	0.107572997	0.914334418	0.999677189
C16orf58	Expressed in all		1196.530355	0.017885649	0.166280396	0.107563185	0.914342201	0.999677189
LMF1	Expressed in all		160.9399767	-0.020134005	0.187472333	-0.107397208	0.914473869	0.999677189
FLI1	Tissue enhanced	spleen: 46.1	267.2497405	-0.017859276	0.166475314	-0.107278826	0.914567782	0.999677189
SELENOO	Expressed in all		1032.620867	0.021298075	0.198543469	0.107271598	0.914573516	0.999677189
NDUFAF8	Expressed in all		256.9226495	-0.019644037	0.183141602	-0.10726147	0.91458155	0.999677189
HS3ST4	Tissue enriched	cerebral cortex: 18.7	0.439136434	0.129175981	1.205402085	0.107164226	0.914658696	NA
HEXB	Expressed in all		1543.391373	0.012383847	0.11557642	0.10714856	0.914671123	0.999677189
SLC35F4	Tissue enhanced	prostate: 1.9;seminal vesicle: 4.9;testis: 1.8	0.154881085	-0.353738361	3.303542395	-0.107078499	0.914726704	NA
CNPY1	Tissue enhanced	testis: 1.8	0.37152794	0.116194199	1.085257582	0.10706601	0.914736612	NA
XYLT1	Mixed		8.591821469	0.035278935	0.329814841	0.106965882	0.914816046	0.999677189
MRPS15	Expressed in all		694.5693127	-0.009447438	0.088333794	-0.106951569	0.914827402	0.999677189
PLD4	Mixed		25.17613166	0.041861182	0.391616266	0.106893369	0.914873574	0.999677189
FDXACB1	Mixed		34.38047762	0.02237398	0.209572415	0.106760136	0.914979273	0.999677189
TLCD1	Mixed		39.99382489	-0.025019078	0.23459509	-0.106647921	0.9150683	0.999677189
LIN28A	Tissue enriched	testis: 4.3	3.119350325	-0.06541478	0.613419827	-0.106639494	0.915074986	0.999677189
GALE	Expressed in all		510.0963317	-0.015921633	0.149429727	-0.106549305	0.915146538	0.999677189
SEMA5B	Tissue enhanced	cerebral cortex: 11.4	16.62493161	-0.033189956	0.311609829	-0.106511262	0.91517672	0.999677189
KREMEN1	Mixed		165.2657877	0.020754642	0.194923576	0.106475792	0.915204861	0.999677189
COMMD6	Expressed in all		1090.509583	0.017596619	0.165536627	0.106300454	0.915343971	0.999677189
TCTN3	Expressed in all		188.3630253	-0.031905979	0.3001949	-0.106284215	0.915356855	0.999677189
BEX4	Expressed in all		138.8508789	0.017844573	0.168090663	0.106160408	0.915455083	0.999677189
ZNF451	Expressed in all		605.3969706	-0.012148861	0.114468874	-0.106132445	0.915477269	0.999677189
LPO	Tissue enriched	salivary gland: 372.8	0.112257549	-0.270005694	2.546272154	-0.106039605	0.915550929	NA
LHCGR	Tissue enhanced	ovary: 1.6;testis: 4.3	0.11577838	-0.296712416	2.801436129	-0.105914396	0.915650272	NA
HCN1	Tissue enriched	cerebral cortex: 4.9	5.316484158	-0.0496335	0.468820028	-0.105868985	0.915686302	0.999677189
ZFY	Mixed		77.17566842	-0.158607684	1.498572579	-0.105839174	0.915709955	0.999677189
LSM2	Mixed		197.0153578	-0.010764052	0.101704139	-0.10583691	0.915711751	0.999677189
ZNF80	Tissue enhanced	breast: 6.4	1.556211953	0.086956827	0.821654125	0.105831425	0.915716103	0.999677189
CRB3	Mixed		124.006742	0.018077913	0.170876226	0.105795368	0.915744712	0.999677189
ZNF581	Expressed in all		69.91075277	0.018716297	0.176918787	0.105790329	0.91574871	0.999677189
TBXA2R	Mixed		119.6086641	0.019864812	0.187805563	0.105773289	0.91576223	0.999677189
MBD6	Expressed in all		501.1424206	0.01483702	0.140327604	0.105731298	0.915795547	0.999677189
FAM193B	Expressed in all		247.8006913	0.020183235	0.190911501	0.105720371	0.915804218	0.999677189
C11orf53	Tissue enhanced	testis: 4.7	0.373102119	-0.217229199	2.055235518	-0.105695526	0.91582393	NA
7-Sep	Expressed in all		1368.172285	-0.012931552	0.122396413	-0.105653033	0.915857646	0.999677189
OLFM3	Tissue enriched	cerebral cortex: 26.7	0.405403619	-0.189067915	1.789937068	-0.105628247	0.915877312	NA
NCOR1	Expressed in all		1819.580172	0.014341636	0.135883236	0.105543824	0.915944297	0.999677189
SYT2	Tissue enhanced	adrenal gland: 1.8;cerebral cortex: 2.1	6.668191909	0.037889603	0.359009385	0.105539311	0.915947878	0.999677189
PDSS1	Mixed		20.33615027	0.052939636	0.501884962	0.105481615	0.915993658	0.999677189
WIPF2	Expressed in all		598.8184107	0.007786582	0.073823669	0.105475419	0.915998574	0.999677189
PPY	Tissue enhanced	pancreas: 35.3;parathyroid gland: 33.7	0.062693069	0.461093708	4.372262202	0.105458842	0.916011727	NA
SEC23B	Expressed in all		610.1619268	0.01270786	0.120715275	0.105271353	0.916160494	0.999677189
FAM219B	Mixed		205.8806578	-0.010552694	0.100303135	-0.105208018	0.916210749	0.999677189
BRMS1	Expressed in all		189.4096774	-0.024748068	0.235296972	-0.105178011	0.916234559	0.999677189
C20orf144	Tissue enriched	testis: 43.4	0.124478251	-0.462406867	4.396816381	-0.105168564	0.916242054	NA
PTGDR2	Tissue enhanced	small intestine: 7.1;stomach: 7.5	14.05623428	0.03816336	0.362902812	0.105161379	0.916247756	0.999677189
UPF3A	Expressed in all		415.1950725	0.018470426	0.175716346	0.105115012	0.916284547	0.999677189
F2RL2	Tissue enhanced	gallbladder: 10.9	57.94432081	0.030064498	0.286252749	0.105027804	0.916353746	0.999677189
SNAP91	Tissue enriched	cerebral cortex: 152.1	0.145888882	-0.263606739	2.511013476	-0.104980217	0.916391507	NA
PRDM7	Tissue enriched	testis: 1.1	2.878583922	-0.072372434	0.68960056	-0.10494834	0.916416801	0.999677189
SULT6B1	Group enriched	fallopian tube: 1.0;testis: 4.3	0.107612292	-0.365044657	3.479121278	-0.104924384	0.91643581	NA
GNAS	Expressed in all		5405.635585	-0.011823722	0.112699446	-0.104913754	0.916444245	0.999677189
SP4	Mixed		131.6960502	0.016967931	0.161971876	0.104758501	0.91656744	0.999677189
CRYM	Group enriched	cerebral cortex: 51.1;heart muscle: 47.8;kidney: 28.4;prostate: 24.7;urinary bladder: 14.8	6.114174858	0.151875799	1.450435099	0.10471051	0.916605522	0.999677189
SLC9A3	Tissue enhanced	colon: 80.9;gallbladder: 66.1;small intestine: 72.6	10.9418214	-0.041466486	0.396012295	-0.104710098	0.916605849	0.999677189
BANF2	Tissue enriched	testis: 125.1	0.058827987	-0.462412767	4.417700022	-0.10467274	0.916635493	NA
SNX19	Expressed in all		876.0739019	-0.008916524	0.085230339	-0.104616791	0.916679891	0.999677189
TBX21	Tissue enhanced	lymph node: 8.5;spleen: 11.1	21.32128438	-0.030683035	0.293311388	-0.104609081	0.916686009	0.999677189
MYLIP	Expressed in all		157.2343956	-0.015033206	0.143864481	-0.104495606	0.916776055	0.999677189
NCBP2L	Tissue enhanced	adrenal gland: 1.4;testis: 3.9	0.112438896	-0.292834159	2.802532256	-0.104489131	0.916781194	NA
ZNF503	Mixed		242.3670568	-0.016545024	0.158414954	-0.104441049	0.916819348	0.999677189
OR8S1	Not detected		0.471936548	-0.109786119	1.052547552	-0.104305139	0.9169272	NA
ATP2B1	Expressed in all		645.5334359	0.023149898	0.222072195	0.104244917	0.916974989	0.999677189
WDR5B	Mixed		139.1320173	-0.011727261	0.112500037	-0.104242284	0.916977079	0.999677189
MAF1	Expressed in all		459.3218927	0.014183745	0.136151689	0.104176052	0.917029638	0.999677189
SRPK3	Tissue enhanced	heart muscle: 28.7;skeletal muscle: 73.6	5.710079386	-0.041063473	0.394317856	-0.104138	0.917059835	0.999677189
KCTD12	Expressed in all		1094.811503	-0.025024503	0.240360726	-0.104112278	0.917080247	0.999677189
SIM2	Tissue enhanced	esophagus: 22.8;kidney: 13.0;prostate: 10.3	21.64103816	-0.020058126	0.19268888	-0.104095921	0.917093228	0.999677189
SMYD1	Group enriched	heart muscle: 107.0;skeletal muscle: 170.8;smooth muscle: 38.5	0.057092039	-0.462421104	4.444684246	-0.104039135	0.917138292	NA
FIBCD1	Tissue enhanced	adrenal gland: 4.7;parathyroid gland: 8.6;testis: 5.3	0.099200318	-0.270133422	2.597898752	-0.103981505	0.917184026	NA
CCR3	Mixed		1.495220269	-0.072042805	0.694423961	-0.1037447	0.917371953	0.999677189
SYNE1	Expressed in all		551.8415759	-0.014424393	0.139060061	-0.103727788	0.917385374	0.999677189
PRUNE1	Expressed in all		251.1850666	-0.012333712	0.118959489	-0.103679935	0.91742335	0.999677189
FOXD4L5	Not detected		0.469736727	-0.117282441	1.131447815	-0.10365696	0.917441584	NA
C1orf194	Group enriched	fallopian tube: 198.1;testis: 199.1	0.311055164	0.171864982	1.659776697	0.103547051	0.917528809	NA
SPESP1	Tissue enriched	testis: 128.4	9.687476058	-0.058232594	0.563050142	-0.103423461	0.917626893	0.999677189
DNASE1L2	Tissue enriched	skin: 11.9	4.414170269	0.055082466	0.532836034	0.103376015	0.917664547	0.999677189
WBSCR28	Tissue enriched	testis: 36.2	0.527128395	-0.119838404	1.159714227	-0.103334426	0.917697554	NA
KIF2C	Tissue enriched	testis: 135.0	2.914188967	0.071522571	0.692287925	0.10331333	0.917714296	0.999677189
YPEL3	Expressed in all		292.8088424	-0.018860829	0.182638012	-0.103268914	0.917749547	0.999677189
NT5C1B	Tissue enriched	testis: 57.5	9.24373935	-0.029416403	0.285167057	-0.103154983	0.917839967	0.999677189
C5orf34	Tissue enhanced	testis: 7.7	7.254787313	-0.029240942	0.283597975	-0.103107021	0.917878033	0.999677189
CPB2	Tissue enriched	liver: 755.5	15294.39708	-0.015452285	0.149867481	-0.103106323	0.917878587	0.999677189
RGPD4	Tissue enriched	testis: 5.7	0.125026806	-0.462436933	4.489303336	-0.103008618	0.917956131	NA
OR10A2	Not detected		0.037487187	-0.462434671	4.489303353	-0.103008114	0.917956531	NA
OR51M1	Not detected		0.071637267	-0.462434385	4.489303352	-0.10300805	0.917956582	NA
METTL21C	Tissue enriched	epididymis: 42.2	0.043715394	-0.462433911	4.489303356	-0.103007945	0.917956666	NA
MRGPRD	Not detected		0.085819883	-0.462433911	4.489303356	-0.103007945	0.917956666	NA
ZBBX	Group enriched	fallopian tube: 38.1;testis: 67.6	0.04971947	-0.462433844	4.489303356	-0.103007929	0.917956678	NA
RXFP2	Not detected		0.03876455	-0.462433448	4.489303359	-0.103007841	0.917956748	NA
SELENOV	Group enriched	parathyroid gland: 1.8;testis: 5.5;thyroid gland: 2.1	0.041522978	-0.462433448	4.489303359	-0.103007841	0.917956748	NA
OR2F2	Not detected		0.036149854	-0.462433448	4.489303359	-0.103007841	0.917956748	NA
OR8G5	Tissue enriched	testis: 6.2	0.026720356	-0.462433448	4.489303359	-0.103007841	0.917956748	NA
TNP1	Tissue enriched	testis: 4403.1	0.026324687	-0.462432992	4.489303363	-0.10300774	0.917956828	NA
CER1	Tissue enriched	epididymis: 1.3	0.01795487	-0.462432992	4.489303363	-0.10300774	0.917956828	NA
CIB4	Group enriched	testis: 20.1;thyroid gland: 4.2	0.020445024	-0.462432992	4.489303363	-0.10300774	0.917956828	NA
UCMA	Tissue enhanced	ovary: 1.4	0.019836283	-0.462432992	4.489303363	-0.10300774	0.917956828	NA
PRY	Not detected		0.01795487	-0.462432992	4.489303363	-0.10300774	0.917956828	NA
PRY2	Not detected		0.01795487	-0.462432992	4.489303363	-0.10300774	0.917956828	NA
OR10A3	Not detected		0.01795487	-0.462432992	4.489303363	-0.10300774	0.917956828	NA
OR52A5	Not detected		0.019018111	-0.462432992	4.489303363	-0.10300774	0.917956828	NA
ADGRD2	Tissue enhanced	seminal vesicle: 1.8	0.014487012	-0.462432992	4.489303363	-0.10300774	0.917956828	NA
OR10G7	Not detected		0.019848308	-0.462432992	4.489303363	-0.10300774	0.917956828	NA
HS6ST3	Tissue enhanced	cerebral cortex: 27.7	0.017466018	-0.462432992	4.489303363	-0.10300774	0.917956828	NA
UBL4B	Tissue enriched	testis: 69.3	0.019896754	-0.462432992	4.489303363	-0.10300774	0.917956828	NA
BPIFB3	Tissue enhanced	testis: 1.0	0.031202864	-0.462432992	4.489303363	-0.10300774	0.917956828	NA
OR2AK2	Not detected		0.026897312	-0.462432992	4.489303363	-0.10300774	0.917956828	NA
ZNF560	Tissue enriched	testis: 11.9	0.040446969	-0.462432992	4.489303363	-0.10300774	0.917956828	NA
OR10G4	Not detected		0.020445024	-0.462432992	4.489303363	-0.10300774	0.917956828	NA
ACTL7B	Tissue enriched	testis: 58.9	0.032645342	-0.462429794	4.489303362	-0.103007027	0.917957394	NA
CYP4F3	Tissue enhanced	bone marrow: 53.1;liver: 98.0	7750.724587	0.013055873	0.126855468	0.102919278	0.918027038	0.999677189
CNTN2	Tissue enriched	cerebral cortex: 81.7	2.510182812	0.046229261	0.449188738	0.102917231	0.918028662	0.999677189
C17orf51	Tissue enhanced	cerebral cortex: 16.6	133.2194127	-0.021443286	0.208396889	-0.102896382	0.918045209	0.999677189
GDF11	Mixed		31.90378657	0.020861484	0.202783807	0.10287549	0.91806179	0.999677189
TCTE1	Group enriched	fallopian tube: 23.1;testis: 35.3	2.060377715	0.069619843	0.676813566	0.102864137	0.918070801	0.999677189
MAN2A1	Expressed in all		2403.375498	-0.013582826	0.132255456	-0.10270144	0.918199931	0.999677189
SHOX2	Tissue enhanced	adipose tissue: 4.1;testis: 3.3	0.751835542	-0.101643292	0.989932054	-0.102677039	0.918219297	NA
GPR149	Tissue enriched	seminal vesicle: 2.9	0.02670319	0.460323124	4.489724423	0.102528147	0.918337473	NA
KAT6A	Expressed in all		705.7842533	0.007015703	0.068460323	0.102478384	0.918376969	0.999677189
BCKDK	Expressed in all		1035.259467	-0.015851143	0.154874693	-0.10234818	0.918480314	0.999677189
LY86	Tissue enhanced	lymph node: 82.3	67.78240544	-0.024191433	0.236386351	-0.102338536	0.918487968	0.999677189
SHROOM3	Mixed		628.3039269	0.011393534	0.111393563	0.102281801	0.918533	0.999677189
B3GAT1	Tissue enriched	cerebral cortex: 115.4	124.7614322	0.03606624	0.352650196	0.102271997	0.918540782	0.999677189
BCLAF1	Expressed in all		1426.090335	-0.00943864	0.092338528	-0.102217791	0.918583807	0.999677189
ATG4D	Expressed in all		60.23711061	0.020899033	0.204613994	0.102138825	0.918646484	0.999677189
EIF3M	Expressed in all		1121.732745	0.009496598	0.092982074	0.102133644	0.918650596	0.999677189
SLC6A17	Tissue enriched	cerebral cortex: 75.4	0.079579844	-0.270341158	2.647118617	-0.102126575	0.918656207	NA
PCID2	Expressed in all		199.4918137	0.015246051	0.149420352	0.102034633	0.918729186	0.999677189
CNTRL	Tissue enhanced	testis: 65.8	141.5743303	0.014964241	0.146682957	0.102017586	0.918742717	0.999677189
CSF1	Expressed in all		355.2083006	-0.013597264	0.133368809	-0.101952354	0.918794494	0.999677189
CYP26A1	Tissue enriched	liver: 9.7	76.47610287	0.047442468	0.465455873	0.101926887	0.918814709	0.999677189
REXO4	Expressed in all		150.4850782	0.017743499	0.174248454	0.101828732	0.918892619	0.999677189
PAICS	Expressed in all		2013.071932	0.008386126	0.082369926	0.101810532	0.918907065	0.999677189
DMRTC1B	Tissue enhanced	cerebral cortex: 16.6	0.481827839	0.118838261	1.167517117	0.101787168	0.918925611	NA
CMTM5	Tissue enriched	cerebral cortex: 81.3	0.826402037	0.085808209	0.843250445	0.101758867	0.918948076	NA
OTOS	Tissue enriched	thyroid gland: 74.1	0.064449606	-0.441214837	4.336972091	-0.101733382	0.918968305	NA
USP45	Mixed		87.04046157	-0.024416003	0.240003168	-0.101732002	0.9189694	0.999677189
HIST2H3PS2	Tissue enhanced	adrenal gland: 8.5;spleen: 7.7	0.535473618	0.134094683	1.319222126	0.101646781	0.919037046	NA
P2RY14	Tissue enhanced	placenta: 45.9	14.07550559	-0.036167317	0.355972125	-0.101601543	0.919072955	0.999677189
TRPA1	Tissue enhanced	urinary bladder: 29.5	3.510896834	0.055683908	0.548401332	0.101538608	0.919122912	0.999677189
RPL29	Expressed in all		4956.988053	-0.013001238	0.128125375	-0.101472779	0.919175165	0.999677189
ALDH3B2	Group enriched	breast: 89.9;esophagus: 103.4;skin: 122.2	0.621010199	-0.105837099	1.043304513	-0.101444111	0.919197922	NA
ERICH4	Group enriched	duodenum: 42.8;kidney: 16.3;small intestine: 42.9	0.077513243	-0.454977036	4.488764561	-0.101359078	0.91926542	NA
ABHD17A	Mixed		452.487902	0.021335523	0.210607103	0.101304858	0.91930846	0.999677189
TBC1D5	Expressed in all		450.5022804	-0.016352618	0.161705755	-0.101125765	0.919450625	0.999677189
RNF138	Expressed in all		474.9028708	-0.013423897	0.132758797	-0.101114933	0.919459224	0.999677189
MCAT	Expressed in all		144.0146414	-0.012812957	0.126728939	-0.10110522	0.919466934	0.999677189
KRT72	Tissue enriched	testis: 26.8	0.207232045	0.242459566	2.398944976	0.101069248	0.919495489	NA
CLEC12A	Tissue enhanced	bone marrow: 51.3	60.0360965	0.026626928	0.263949151	0.100879006	0.919646509	0.999677189
SLC25A2	Tissue enriched	testis: 11.6	0.375396953	0.142990061	1.418389116	0.100811589	0.919700027	NA
ULK3	Expressed in all		234.3709115	0.014380946	0.142790851	0.100713359	0.919778006	0.999677189
HIPK4	Group enriched	cerebral cortex: 4.7;testis: 14.6	0.136011883	0.310130696	3.08041029	0.100678373	0.91980578	NA
FBXO38	Expressed in all		544.4890274	0.012001802	0.119248755	0.100645089	0.919832203	0.999677189
C1QTNF9	Tissue enhanced	skeletal muscle: 2.9	1.510719485	0.082394147	0.819782734	0.100507297	0.91994159	0.999677189
USP51	Tissue enriched	epididymis: 62.9	64.21432303	-0.017426002	0.173831608	-0.100246453	0.920148667	0.999677189
MUC22	Tissue enriched	esophagus: 20.2	0.166535936	-0.270844408	2.702317759	-0.100226706	0.920164344	NA
PARVG	Tissue enhanced	spleen: 38.4	120.5240011	0.018443919	0.184141308	0.100161768	0.920215898	0.999677189
TSPAN5	Tissue enhanced	cerebral cortex: 75.9	28.2656283	-0.02605425	0.260254254	-0.100110757	0.920256396	0.999677189
GAPVD1	Expressed in all		559.4963078	-0.008483108	0.08473854	-0.100109208	0.920257625	0.999677189
ZNF101	Tissue enhanced	lymph node: 31.4	53.07859215	-0.014829264	0.148274772	-0.10001205	0.920334759	0.999677189
