Gene	RNA Tissue Category	RNA TS TPM	BaseMean	log2FoldChange	lfcSE	stat	P value	P value adjusted
MBOAT4	Tissue enhanced	fallopian tube: 2.9;stomach: 3.5	5.068174341	-3.286127414	0.468302668	-7.017101632	2.27E-12	1.17E-10
CD163L1	Tissue enhanced	spleen: 43.2	67.36232132	-1.066019678	0.284035471	-3.753121659	0.000174646	0.001303197
DNAJC28	Tissue enhanced	testis: 8.2	39.61393105	0.537851601	0.153437473	3.50534711	0.000456012	0.002940807
FAM20C	Expressed in all		1255.797721	0.482480494	0.13130153	3.674599179	0.000238223	0.001689002
ANXA2R	Tissue enhanced	lymph node: 21.9	14.77435195	-1.025700625	0.230404683	-4.451735143	8.52E-06	9.59E-05
KCNJ10	Group enriched	cerebral cortex: 124.7;kidney: 30.6	71.56749836	1.281637564	0.333964783	3.837642857	0.000124221	0.000980727
CHID1	Expressed in all		864.3243143	0.450580009	0.141808131	3.17739192	0.001486061	0.007984569
PCDHB9	Tissue enhanced	cerebral cortex: 7.9	10.73115738	-0.886486523	0.284480603	-3.116158061	0.00183224	0.009527879
MAMDC4	Mixed		855.2758523	2.276588086	0.324246162	7.02117203	2.20E-12	1.14E-10
BET1L	Expressed in all		666.9064741	0.29535264	0.10078297	2.93058084	0.00338329	0.015944561
ASB8	Expressed in all		718.6331684	0.237068897	0.07250409	3.269731356	0.001076497	0.006112507
DPY19L2	Tissue enriched	testis: 112.0	8.328195385	-1.560361143	0.343385523	-4.544050457	5.52E-06	6.56E-05
LRRC75B	Tissue enhanced	testis: 2.2	270.8290972	0.612313249	0.154756424	3.956625718	7.60E-05	0.000644284
ADAMTSL1	Tissue enhanced	endometrium: 24.1	27.00822587	-0.654364349	0.257661614	-2.539626834	0.01109708	0.042141817
MLF1	Tissue enriched	testis: 671.8	21.22753073	-1.392018545	0.250014529	-5.567750611	2.58E-08	5.60E-07
NDUFAF3	Expressed in all		478.8154766	0.442938382	0.114465337	3.86962894	0.000109001	0.000878965
GRAMD1C	Mixed		800.1251573	0.387633875	0.142222681	2.725541894	0.006419603	0.02699378
BOLA1	Expressed in all		151.7452447	0.450346336	0.117525294	3.831909878	0.000127152	0.000999117
PDE4DIP	Expressed in all		1335.651832	0.472108291	0.104154986	4.532747853	5.82E-06	6.87E-05
NDUFV2	Expressed in all		2608.561147	0.371651044	0.089730092	4.141877425	3.44E-05	0.000322976
AMER3	Tissue enriched	cerebral cortex: 7.0	9.856284953	1.562827262	0.513507639	3.043435275	0.002338937	0.011689053
KDELC2	Expressed in all		446.5720085	-0.289742664	0.098110528	-2.953227027	0.003144706	0.015005015
RNF212	Mixed		6.338306533	-1.13575858	0.393914454	-2.883262009	0.003935799	0.018056368
PRSS36	Mixed		14.99674108	0.836529437	0.223872578	3.736631992	0.000186502	0.00137851
ZNF543	Mixed		53.14991481	-0.47185817	0.125884315	-3.748347611	0.000178003	0.00132428
GEN1	Mixed		272.2593054	0.620125396	0.154879148	4.003930831	6.23E-05	0.000540913
TMPRSS9	Tissue enhanced	spleen: 2.3;testis: 1.7	56.66909978	1.138563601	0.316370476	3.598830131	0.000319652	0.002178832
AQP11	Tissue enhanced	duodenum: 24.1;small intestine: 23.1	351.0059605	0.740661644	0.172439027	4.295208895	1.75E-05	0.000178976
SHISA3	Tissue enhanced	kidney: 25.1	27.47729658	-1.838864204	0.305733057	-6.01460706	1.80E-09	5.18E-08
CALML3	Tissue enhanced	esophagus: 165.7;skin: 42.6	9.246070884	3.847381999	0.748470293	5.140326922	2.74E-07	4.66E-06
ZFAND2A	Expressed in all		307.1261949	0.343634381	0.119794243	2.868538343	0.004123732	0.018773238
COX14	Expressed in all		440.2514076	0.379940509	0.105040256	3.617094294	0.000297929	0.002048147
P4HTM	Expressed in all		188.7007859	-0.502605247	0.086601052	-5.803685243	6.49E-09	1.63E-07
DTX3	Expressed in all		70.99701031	-0.941202762	0.195527921	-4.813648898	1.48E-06	2.07E-05
CTXN1	Tissue enhanced	cerebral cortex: 100.4	2.615012951	-1.987249487	0.538233539	-3.692169557	0.000222349	0.001594623
CD28	Tissue enhanced	lymph node: 32.4;placenta: 20.9	28.50373528	-0.941095785	0.241100328	-3.903336816	9.49E-05	0.000779708
MAF	Tissue enhanced	parathyroid gland: 149.6	3148.643427	0.460270805	0.112636743	4.086329128	4.38E-05	0.000397462
CTNNBIP1	Expressed in all		260.2274315	0.3091446	0.07603717	4.065703648	4.79E-05	0.000429741
KCTD12	Expressed in all		1094.811503	-0.919170075	0.210089977	-4.375125783	1.21E-05	0.000130613
THBD	Expressed in all		66.7757017	-1.265339874	0.361954702	-3.495851459	0.000472552	0.003025067
GP5	Tissue enhanced	lymph node: 1.3	0.993778727	2.595407213	0.854983676	3.035621951	0.002400401	0.011931677
STX19	Tissue enhanced	epididymis: 19.7	2.485405397	-1.508432754	0.521900581	-2.890268393	0.00384913	0.017720807
FAM219B	Mixed		205.8806578	-0.259345416	0.08575016	-3.024430703	0.002491015	0.012313114
CPN2	Tissue enriched	liver: 113.6	4971.781137	0.442568658	0.115923185	3.817775181	0.000134661	0.001050145
CPNE7	Tissue enhanced	epididymis: 23.6	5.608090369	-1.81197184	0.367358172	-4.932439185	8.12E-07	1.21E-05
C5orf46	Group enriched	breast: 17.6;salivary gland: 77.2;skin: 62.4;testis: 19.9	1.094347918	-3.153389971	0.767161549	-4.110464057	3.95E-05	0.000363512
CD300LB	Tissue enhanced	appendix: 11.4	8.738326711	-1.022667882	0.296898131	-3.444507647	0.0005721	0.003571037
GDPD4	Tissue enriched	testis: 4.7	7.074802418	0.959811045	0.305410132	3.142695494	0.001673999	0.008834186
TMEM52	Tissue enhanced	pancreas: 38.8;skeletal muscle: 105.7	42.19417089	1.435560949	0.236696201	6.064993619	1.32E-09	3.90E-08
RNF186	Tissue enhanced	duodenum: 132.4;epididymis: 82.2;small intestine: 46.5	4.047011898	1.390604843	0.376781858	3.690742573	0.0002236	0.001600829
MSC	Mixed		36.03803927	-1.645236826	0.239650347	-6.865155199	6.64E-12	3.22E-10
APOLD1	Tissue enhanced	adipose tissue: 142.9	175.8565085	-2.393939312	0.290941276	-8.228256041	1.90E-16	2.12E-14
RFLNA	Tissue enriched	stomach: 90.8	1.850057222	-3.121335119	0.921863378	-3.385897729	0.000709458	0.004293835
ZBTB7A	Expressed in all		1000.90466	0.402545751	0.153007011	2.630897425	0.008515973	0.033988797
ERICH3	Group enriched	cerebral cortex: 18.9;cervix, uterine: 8.6;fallopian tube: 27.7;testis: 43.1	16.51401463	1.247367413	0.288920051	4.317344571	1.58E-05	0.000164135
TMEM107	Mixed		45.8174948	-0.556131051	0.12751164	-4.361413998	1.29E-05	0.000137705
TRIML2	Group enriched	placenta: 5.9;testis: 3.4	1.225287239	3.520603648	1.215704139	2.895937866	0.003780272	0.01744574
RCC2	Mixed		357.9679633	-0.42359942	0.110211313	-3.843520321	0.000121282	0.000962714
IGSF22	Tissue enhanced	skin: 1.2;testis: 1.0	4.018783528	-1.085632427	0.35428818	-3.064263748	0.002182064	0.011051502
DPM3	Expressed in all		308.1674949	0.473570847	0.162077135	2.9218856	0.003479193	0.016288801
TMTC2	Mixed		35.1921112	-1.489250732	0.2193183	-6.790362362	1.12E-11	5.11E-10
FARSA	Expressed in all		332.4776254	0.423685671	0.164454109	2.576315509	0.009985948	0.0386174
TCAIM	Expressed in all		1252.091156	0.345832291	0.098498769	3.5110316	0.000446371	0.002888805
TMEM125	Tissue enhanced	lung: 113.7	13.01792024	-1.440075623	0.357879466	-4.023912408	5.72E-05	0.000501886
CALR	Expressed in all		13395.89212	0.357711935	0.137067855	2.609743446	0.009061015	0.035745775
LDLRAD3	Mixed		54.30978624	-0.74694531	0.176690385	-4.227424772	2.36E-05	0.00023139
CDH4	Tissue enhanced	cerebral cortex: 6.0;spleen: 4.8	2.762115099	1.678697081	0.647922241	2.590892819	0.00957273	0.037361864
RAD23A	Expressed in all		1266.367834	0.378566608	0.105336626	3.593874453	0.000325797	0.002216469
GADD45GIP1	Expressed in all		294.7276195	0.454183236	0.171828979	2.643228398	0.008211962	0.032955787
TMEM151A	Tissue enriched	cerebral cortex: 45.2	3.599387925	-1.547750641	0.484899943	-3.191896935	0.001413418	0.007643858
NSUN7	Tissue enhanced	testis: 31.5	11.47034812	-1.163482399	0.305354766	-3.81026442	0.000138818	0.001076176
GATA2	Tissue enhanced	prostate: 62.7;seminal vesicle: 74.7	30.49562696	-0.824854339	0.233842373	-3.527394662	0.000419671	0.002744841
EGR3	Mixed		107.7386122	-1.655570164	0.554121376	-2.987739215	0.002810493	0.013632422
GPC5	Tissue enhanced	cerebral cortex: 15.8;kidney: 8.1;testis: 11.5	16.45968734	0.799787363	0.307904206	2.597520095	0.009389963	0.036815872
FJX1	Tissue enhanced	cerebral cortex: 22.4	44.12675481	-1.492318559	0.196601761	-7.590565594	3.19E-14	2.40E-12
ZBTB18	Expressed in all		665.7288732	0.222353748	0.08552841	2.599764788	0.009328768	0.036633699
SLC17A8	Tissue enhanced	small intestine: 5.8	12.09703873	2.042823327	0.340502	5.999445898	1.98E-09	5.62E-08
LBX2	Tissue enhanced	duodenum: 5.3;small intestine: 5.3	222.0358754	0.586236337	0.158742596	3.692999557	0.000221624	0.001590342
DNHD1	Tissue enriched	testis: 19.5	120.3429271	0.665715818	0.18660592	3.567495705	0.000360409	0.002414985
GCC1	Expressed in all		291.9679704	0.248201079	0.088945479	2.790485616	0.005262904	0.022963973
CIITA	Mixed		175.34389	-0.611612508	0.142265889	-4.299080504	1.72E-05	0.000176347
PLD6	Tissue enhanced	testis: 29.3	59.13087849	0.602587155	0.129319632	4.659672669	3.17E-06	4.08E-05
GRM8	Tissue enhanced	cerebral cortex: 4.1	71.77181791	1.383374717	0.273112091	5.065226922	4.08E-07	6.59E-06
ZBTB42	Mixed		149.8857792	0.301268041	0.122063581	2.468123889	0.01358233	0.049593632
LACC1	Mixed		187.6971368	-0.541027464	0.142102667	-3.807299855	0.000140492	0.001085773
TPPP2	Tissue enriched	testis: 309.1	54.57716024	0.911982446	0.200249883	4.554222118	5.26E-06	6.27E-05
RPRML	Tissue enriched	cerebral cortex: 8.6	0.943015541	-2.879918143	0.572436179	-5.030985547	4.88E-07	7.72E-06
ARL14	Tissue enhanced	gallbladder: 209.1;stomach: 70.2	6.010063318	-2.718638565	0.580541685	-4.682934292	2.83E-06	3.69E-05
WDR97	Tissue enriched	testis: 1.1	24.07089593	0.643910252	0.259317749	2.483093634	0.013024685	0.04791952
PCED1B	Mixed		40.2953227	-0.515389205	0.18861706	-2.732463351	0.006286266	0.026563237
APOBEC3B	Tissue enhanced	bone marrow: 18.9	11.3548156	-1.554910344	0.374737351	-4.149333767	3.33E-05	0.000313697
PIPOX	Group enriched	kidney: 137.9;liver: 235.9	5911.629277	0.492761258	0.105391307	4.675539858	2.93E-06	3.81E-05
ATOH7	Tissue enriched	cerebral cortex: 2.2	8.991792559	2.008200365	0.386092103	5.201350535	1.98E-07	3.47E-06
MYADM	Expressed in all		681.3158862	-0.707020553	0.167698289	-4.21602724	2.49E-05	0.000241966
SERTAD2	Expressed in all		599.2112906	0.275495866	0.090371653	3.048476563	0.002300049	0.011531744
ABCA13	Tissue enriched	bone marrow: 29.4	13.40780809	-1.193307335	0.321974452	-3.706217454	0.000210378	0.001519713
PDXDC1	Expressed in all		3198.136354	0.299118548	0.06780791	4.411263334	1.03E-05	0.000112996
ZNF154	Mixed		23.43714222	-0.649972184	0.195096589	-3.331540486	0.000863667	0.005063418
B3GNT3	Tissue enhanced	rectum: 50.8	64.64670386	-2.28852555	0.360468391	-6.34875514	2.17E-10	7.55E-09
ITLN1	Tissue enhanced	colon: 447.7;rectum: 1428.1;small intestine: 468.9	71.52024539	1.022752662	0.396837337	2.577259159	0.009958725	0.038566047
NRXN1	Tissue enriched	cerebral cortex: 154.0	5.714848758	1.230090029	0.469570649	2.619605872	0.008803144	0.034916614
FIZ1	Expressed in all		99.03484669	0.438533506	0.162261659	2.702631712	0.006879292	0.028536281
SSC5D	Mixed		67.99145817	-1.467656915	0.236391327	-6.208590356	5.35E-10	1.72E-08
ZADH2	Expressed in all		770.3982193	0.223663283	0.076702237	2.915994265	0.00354557	0.01655597
TH	Tissue enriched	adrenal gland: 259.8	9.327056491	1.25505672	0.366067023	3.428488891	0.000606951	0.003758418
FAHD1	Expressed in all		1360.983861	0.398844437	0.116895566	3.411972335	0.000644947	0.003962156
F2	Tissue enriched	liver: 627.3	19012.72616	0.377280316	0.128636566	2.932916579	0.003357941	0.015843295
ZNF816	Mixed		42.94421507	-0.548189977	0.154224724	-3.554488302	0.000378715	0.002514995
FGD6	Mixed		210.5700573	-0.585278146	0.119567303	-4.894968212	9.83E-07	1.44E-05
FZD2	Mixed		12.80309299	-1.301495216	0.344544779	-3.777434151	0.000158452	0.001204383
MTURN	Expressed in all		194.7411026	-0.496489055	0.131541082	-3.774403014	0.000160391	0.001217634
CYP8B1	Tissue enriched	liver: 190.6	9864.501806	0.360674071	0.128852027	2.799133857	0.005123989	0.022499817
GAS1	Tissue enhanced	endometrium: 110.8	144.8221933	-1.303231771	0.198347364	-6.570451677	5.02E-11	1.97E-09
KCNE1	Tissue enhanced	fallopian tube: 16.6	21.34733288	0.837603808	0.325266162	2.575133558	0.010020139	0.038697682
PRR26	Mixed		33.42737598	-0.719336853	0.199462675	-3.606373236	0.000310506	0.002121141
RNF182	Tissue enhanced	cerebral cortex: 14.6	1.806851825	-2.704736034	0.519507431	-5.206347151	1.93E-07	3.39E-06
TSPYL5	Tissue enhanced	testis: 81.4	65.70332183	-0.625285877	0.176819531	-3.536294171	0.000405783	0.002665913
HIST1H2AC	Expressed in all		867.7608249	-0.428894688	0.138775151	-3.090572656	0.001997709	0.010267367
SKIDA1	Tissue enhanced	parathyroid gland: 3.9	162.5340615	0.939428206	0.178203405	5.271662507	1.35E-07	2.45E-06
MB21D2	Mixed		29.6519753	-1.210086734	0.247728854	-4.884722606	1.04E-06	1.50E-05
SSTR2	Tissue enhanced	cerebral cortex: 22.9	30.4257288	-0.641228671	0.239501165	-2.677350945	0.007420686	0.030367112
ZNF594	Mixed		43.2069535	0.513068898	0.201347332	2.548178273	0.010828712	0.041274674
SLC47A2	Group enriched	fallopian tube: 16.5;kidney: 49.3	3.10846158	1.094572127	0.427617498	2.559699102	0.010476283	0.04016214
TMEM64	Expressed in all		1034.499593	0.386652365	0.153986261	2.510953651	0.01204055	0.04496685
SHISA2	Tissue enhanced	breast: 22.3;thyroid gland: 48.3	3.831560724	-1.734194768	0.395140458	-4.388805884	1.14E-05	0.000123948
SLC36A4	Mixed		186.1041542	-0.431316039	0.128571255	-3.354684829	0.000794555	0.004724047
OR51E1	Tissue enhanced	adipose tissue: 6.4;placenta: 9.6;prostate: 9.0	4.013112443	-2.146868982	0.504402522	-4.256261393	2.08E-05	0.000207899
ZFP3	Mixed		57.28530084	-0.625380605	0.159322325	-3.925254074	8.66E-05	0.000722024
ARSJ	Mixed		69.57558061	-1.300106391	0.18117746	-7.175872715	7.18E-13	4.15E-11
PPA1	Expressed in all		1548.260149	-0.387264214	0.10176628	-3.805427621	0.000141559	0.001093002
PSMG4	Expressed in all		169.1069186	0.517008377	0.177027083	2.920504415	0.003494652	0.016345807
BHLHE22	Tissue enhanced	cerebral cortex: 12.2	35.56938978	-2.157003365	0.240289143	-8.976699231	2.79E-19	4.84E-17
MAP6D1	Group enriched	cerebral cortex: 39.7;skeletal muscle: 10.3	11.25249114	0.635873728	0.19727543	3.223278888	0.001267321	0.006970265
GREM2	Tissue enhanced	gallbladder: 48.8;parathyroid gland: 78.3	793.1089463	-0.941482889	0.154691901	-6.086180875	1.16E-09	3.47E-08
SSR4	Expressed in all		1594.834915	0.356781914	0.12384493	2.880876231	0.003965713	0.018180203
CUEDC1	Expressed in all		59.88749856	-0.537566718	0.134241469	-4.004475827	6.22E-05	0.000539856
D2HGDH	Expressed in all		398.511051	0.586655804	0.185014243	3.170868323	0.00151984	0.008141464
OXTR	Tissue enriched	breast: 65.4	12.48639586	-1.957281234	0.39367615	-4.971805468	6.63E-07	1.01E-05
ST20	Mixed		74.17265434	0.627185009	0.204375	3.068795154	0.002149239	0.010925262
TCEAL8	Expressed in all		370.5484153	-0.370346265	0.090440801	-4.094902511	4.22E-05	0.000385108
MRPL14	Expressed in all		517.6326342	0.273758334	0.102788259	2.663322999	0.007737311	0.031358212
BBS12	Mixed		25.22732901	-1.10817015	0.186027569	-5.957021084	2.57E-09	7.11E-08
ZFP82	Mixed		25.73569402	-1.03952718	0.245648682	-4.23176372	2.32E-05	0.000228226
NQO1	Tissue enhanced	breast: 379.3;stomach: 556.0	73.38388063	-1.13835963	0.376183032	-3.02607915	0.002477474	0.012251047
AEN	Mixed		119.7514019	-0.903462993	0.195271049	-4.62671245	3.72E-06	4.68E-05
SLC25A42	Expressed in all		1255.021369	0.46119543	0.158462507	2.910438805	0.003609216	0.016793313
MAPK15	Tissue enhanced	fallopian tube: 43.7	3.116407708	-1.927313239	0.468835172	-4.110854631	3.94E-05	0.000363297
EHMT1	Expressed in all		559.6269945	0.365399842	0.081566017	4.479804905	7.47E-06	8.54E-05
F2R	Expressed in all		754.7097663	-0.412202975	0.159967791	-2.576787313	0.009972329	0.038594712
PJA1	Expressed in all		105.9742272	-0.874043135	0.148258548	-5.895397904	3.74E-09	9.97E-08
DHTKD1	Expressed in all		5020.839497	0.417444464	0.108417295	3.850349379	0.000117949	0.000941968
HIST3H2A	Tissue enhanced	adrenal gland: 22.7	2.508927589	-1.392718533	0.408486976	-3.409456395	0.000650925	0.003994939
TMEM132C	Tissue enhanced	adipose tissue: 34.8;cervix, uterine: 24.1	2.017070556	-4.403318223	1.088195275	-4.046441225	5.20E-05	0.000462483
TMEM136	Mixed		26.50713484	-1.295727127	0.195249813	-6.636252844	3.22E-11	1.31E-09
FRAT2	Expressed in all		186.3694813	0.429343115	0.120638678	3.558917597	0.000372386	0.002483207
CCL13	Mixed		2.337886662	-1.717118348	0.499903213	-3.434901605	0.000592769	0.003682505
SYNE4	Tissue enhanced	parathyroid gland: 18.7	78.94657871	0.837675806	0.208640129	4.014931411	5.95E-05	0.000519921
AATK	Tissue enhanced	cerebral cortex: 36.4;duodenum: 23.4	20.86772726	-0.691671438	0.275031902	-2.514877117	0.011907388	0.044606562
ZNF678	Mixed		21.29749439	-0.671625441	0.223004235	-3.011716086	0.002597754	0.012754615
TMEM45A	Tissue enriched	skin: 563.0	1934.653389	-0.929622247	0.133231845	-6.97747785	3.01E-12	1.54E-10
RAP2B	Mixed		417.4516892	-0.436548493	0.118854801	-3.672956319	0.00023976	0.001698935
ACBD4	Expressed in all		971.4124484	0.478865869	0.183922226	2.603632411	0.009224163	0.036268692
MAB21L2	Tissue enhanced	colon: 18.3;smooth muscle: 26.2	47.23293816	-0.905498465	0.273087915	-3.315776402	0.000913889	0.005314049
C6orf223	Group enriched	breast: 22.7;lung: 5.6	8.690387048	-2.395672764	0.592834589	-4.041047554	5.32E-05	0.000471567
TNFSF15	Mixed		3.901615179	-1.559725303	0.405993346	-3.841750903	0.00012216	0.000968447
PHLDA2	Tissue enriched	placenta: 54.3	13.44412147	-1.660306554	0.416437276	-3.986930687	6.69E-05	0.000577531
GPR3	Tissue enhanced	cerebral cortex: 5.2	2.150542711	-1.177386797	0.433436772	-2.716398035	0.006599652	0.027642287
TMEM252	Tissue enhanced	kidney: 37.5;small intestine: 25.7	4.439994086	-1.678549379	0.470153736	-3.570213846	0.00035669	0.002394574
RELL1	Mixed		34.54306009	-0.696325516	0.136468379	-5.102467855	3.35E-07	5.56E-06
RNF41	Expressed in all		262.8720385	-0.205512705	0.06131863	-3.351554103	0.000803593	0.004773049
CLDN7	Mixed		233.9974197	-1.425338801	0.171660873	-8.3032247	1.01E-16	1.17E-14
C5orf24	Expressed in all		1865.981337	0.283190707	0.113378367	2.497749024	0.012498465	0.046367255
ADO	Expressed in all		240.9720644	-0.223585254	0.089504143	-2.498043639	0.012488082	0.046335642
COA4	Expressed in all		535.8516771	0.230826003	0.082533186	2.796765929	0.005161691	0.022625459
RTKN2	Tissue enriched	lung: 121.3	5.250601375	-1.430014798	0.413022681	-3.462315424	0.000535549	0.003375044
PNMAL1	Tissue enhanced	cerebral cortex: 133.9	18.59907662	-1.620725279	0.293096335	-5.529667495	3.21E-08	6.81E-07
CHST15	Expressed in all		374.9075796	-0.812276422	0.143658622	-5.654212823	1.57E-08	3.60E-07
IDH2	Expressed in all		3028.674797	0.361307892	0.135275918	2.670895886	0.007564911	0.030824115
DEXI	Expressed in all		568.2407108	0.65601021	0.137572261	4.76847736	1.86E-06	2.53E-05
KCNIP1	Tissue enhanced	cerebral cortex: 40.4;epididymis: 26.3	2.283878832	-1.575408253	0.540943129	-2.912336192	0.003587363	0.016719312
TDRKH	Tissue enhanced	parathyroid gland: 76.8;testis: 40.1	77.20787862	0.335185869	0.130163496	2.575114219	0.010020699	0.038697682
IST1	Expressed in all		706.2499318	-0.142110478	0.052034104	-2.731102623	0.006312281	0.026633442
P2RY8	Tissue enhanced	lymph node: 47.6	49.43972442	-1.081478367	0.216199647	-5.002220778	5.67E-07	8.82E-06
UNC5C	Tissue enhanced	thyroid gland: 20.0	51.13406568	-1.359317858	0.181769852	-7.478236058	7.53E-14	5.30E-12
MRPS16	Expressed in all		1019.141945	0.234916668	0.073454681	3.19811704	0.001383281	0.007516924
LDOC1	Mixed		55.0594347	-1.505498357	0.21614586	-6.965196352	3.28E-12	1.67E-10
EXT1	Mixed		897.9173449	-0.380858752	0.103713912	-3.672205052	0.000240467	0.001702969
SHMT2	Expressed in all		2644.056942	0.293988079	0.090211147	3.258888608	0.001118496	0.006306391
ATP6AP2	Expressed in all		1789.66793	-0.225800722	0.080972805	-2.788599494	0.005293648	0.023069816
FAM153B	Tissue enhanced	ovary: 8.4;testis: 15.4	16.79750863	-2.401029156	0.384110973	-6.250873638	4.08E-10	1.35E-08
BACE2	Mixed		170.5579514	-1.954868687	0.180720349	-10.81709227	2.86E-27	1.92E-24
UBE2E2	Expressed in all		323.0314373	-0.227996671	0.089045096	-2.560462975	0.01045328	0.040088353
B4GALNT4	Tissue enhanced	cerebral cortex: 30.9;ovary: 11.7	6.502827132	-1.549196824	0.442933265	-3.497585179	0.000469491	0.00301057
ZSCAN22	Mixed		68.48348498	0.344640469	0.105415734	3.269345617	0.001077965	0.006117237
C1S	Expressed in all		51931.5415	0.270361437	0.081372635	3.322510531	0.000892113	0.005209329
KIAA2012	Tissue enriched	fallopian tube: 14.7	18.70839025	0.921242356	0.290916614	3.166688703	0.001541853	0.008238202
PLCXD1	Expressed in all		242.8109951	0.523671225	0.16402789	3.192574295	0.001410107	0.007630823
NXPH4	Tissue enhanced	cerebral cortex: 8.3;prostate: 7.1;skin: 12.2	2.09394691	-1.848660562	0.474505264	-3.895974821	9.78E-05	0.000800871
TRAPPC6B	Expressed in all		643.7011458	0.266477469	0.085007001	3.134770856	0.001719884	0.009030389
TSHZ2	Mixed		559.9603531	-0.540085979	0.134065134	-4.028534214	5.61E-05	0.000493688
CAPN12	Group enriched	cervix, uterine: 7.3;gallbladder: 35.5	134.2267909	1.518110693	0.293119667	5.179149904	2.23E-07	3.87E-06
KPNA2	Expressed in all		169.0112533	-0.605513913	0.16126996	-3.754660282	0.000173577	0.001297162
BGN	Mixed		3758.370727	-0.588572258	0.18383955	-3.201554055	0.001366884	0.007440597
FES	Expressed in all		360.7993968	0.674372596	0.175398877	3.844794266	0.000120654	0.000958644
GLRX5	Expressed in all		1115.811096	0.438269879	0.102245758	4.286435837	1.82E-05	0.000184947
FAM104B	Expressed in all		116.0516859	0.484191861	0.078788499	6.145463704	7.97E-10	2.48E-08
MXRA7	Expressed in all		474.1064103	-0.472512635	0.147877839	-3.195290374	0.001396902	0.007572915
LIMK2	Expressed in all		118.9561336	-1.245251574	0.172199991	-7.231426468	4.78E-13	2.81E-11
ADI1	Expressed in all		10732.65709	0.517836245	0.13844576	3.740354664	0.000183761	0.001359797
SPNS3	Tissue enriched	bone marrow: 12.4	2.318547245	-3.513761353	1.341049372	-2.620158084	0.008788901	0.034869404
CLEC4G	Group enriched	adipose tissue: 18.7;liver: 27.6;lymph node: 16.8	871.4284188	1.956555195	0.274517263	7.127257398	1.02E-12	5.65E-11
EPHB3	Tissue enhanced	skin: 45.4	32.6352219	-0.874681429	0.25590561	-3.417984582	0.000630867	0.003890059
EPGN	Tissue enriched	esophagus: 63.6	0.821220298	-3.359324435	1.176703144	-2.854861443	0.004305561	0.019486968
C2orf82	Tissue enhanced	breast: 5.1;testis: 4.1	191.6882002	0.726575618	0.282552634	2.571469989	0.010126779	0.039052814
NDN	Mixed		103.3488549	-0.762182864	0.150418295	-5.067088827	4.04E-07	6.54E-06
NTM	Tissue enhanced	cerebral cortex: 116.0	14.8689822	-1.766753848	0.411244406	-4.296116429	1.74E-05	0.000178499
PPP1R27	Tissue enriched	skeletal muscle: 170.9	1.378233979	1.891591264	0.686746265	2.754425267	0.005879532	0.025143209
IGIP	Mixed		374.0620136	0.257225973	0.102537929	2.508593415	0.012121291	0.045203791
ANXA2	Expressed in all		1449.42038	-1.819576981	0.190542104	-9.549474603	1.30E-21	3.73E-19
HOXB4	Tissue enhanced	epididymis: 16.1	45.93856325	-0.773674103	0.198456923	-3.898448549	9.68E-05	0.000794303
PAPPA	Tissue enriched	placenta: 104.5	23.91745178	-2.762479522	0.344647593	-8.015374478	1.10E-15	1.06E-13
GSTA5	Not detected		4.800797949	1.015896397	0.319630183	3.178349386	0.001481161	0.007966844
C1orf116	Tissue enhanced	esophagus: 112.4;lung: 109.2;prostate: 82.0	43.77094768	-1.72835531	0.308186074	-5.608155133	2.04E-08	4.54E-07
CRIP2	Tissue enhanced	heart muscle: 315.6	355.3084345	-0.568482769	0.205507294	-2.76624132	0.005670655	0.024384112
PLCXD3	Tissue enhanced	adrenal gland: 16.7;heart muscle: 22.0;ovary: 28.4	162.6181233	-2.123433303	0.25899855	-8.198630086	2.43E-16	2.65E-14
VMO1	Tissue enhanced	parathyroid gland: 34.4	54.46824991	0.88578039	0.252107272	3.513505912	0.000442235	0.002867555
GLUD2	Tissue enriched	testis: 46.5	66.85001986	-0.869239633	0.18272187	-4.757173467	1.96E-06	2.66E-05
SLC25A18	Tissue enhanced	cerebral cortex: 74.5;liver: 25.2	743.4026757	0.579247097	0.18507545	3.129788944	0.001749319	0.009161119
TCEAL7	Tissue enhanced	cerebral cortex: 145.6	12.01435802	-0.764410248	0.26091975	-2.929675683	0.003393159	0.015967092
CEP63	Expressed in all		288.219464	0.279711717	0.077852311	3.592850547	0.00032708	0.002223985
SRPRA	Expressed in all		3052.018898	0.267492923	0.076302309	3.505698913	0.00045541	0.002938446
GJC1	Tissue enhanced	endometrium: 44.3;placenta: 51.5;smooth muscle: 49.2	40.76820925	-0.967057864	0.244443959	-3.956153657	7.62E-05	0.000645119
ZNF320	Mixed		80.66224491	-1.092649305	0.166586581	-6.559047555	5.42E-11	2.11E-09
SPNS2	Tissue enhanced	esophagus: 46.4	218.2796905	-0.511467277	0.139790335	-3.658817162	0.000253382	0.001781259
AP2A2	Mixed		979.1372527	0.256566398	0.09492631	2.702795434	0.006875905	0.028536281
ABAT	Tissue enhanced	cerebral cortex: 164.5;kidney: 135.3;liver: 175.2	9646.023997	0.520290861	0.119192411	4.365134144	1.27E-05	0.000135672
SLC25A10	Mixed		1338.711154	0.740517635	0.191378485	3.86938811	0.000109109	0.000879549
IGSF5	Mixed		2.307808032	-1.987473002	0.454315	-4.374658553	1.22E-05	0.000130836
AFMID	Expressed in all		1289.004713	0.76240239	0.131322874	5.805556673	6.42E-09	1.61E-07
